"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Feb 14 13:14:37 CET 2026","Sat Feb 14 13:14:37 CET 2026","1","chromium","","Authentication - Invalid Credentials","","","2.2 Login fails with invalid password",""
"passed","Sat Feb 14 13:14:48 CET 2026","Sat Feb 14 13:14:52 CET 2026","3136","chromium","","Case Sensitivity & Edge Cases","","","4.2 Password is case-sensitive",""
"passed","Sat Feb 14 13:14:41 CET 2026","Sat Feb 14 13:14:48 CET 2026","7862","chromium","","Authentication - Happy Path","","","1.1 Successful login with valid credentials",""
"passed","Sat Feb 14 13:14:48 CET 2026","Sat Feb 14 13:14:52 CET 2026","3790","chromium","","Case Sensitivity & Edge Cases","","","4.3 Whitespace in fields is treated as invalid",""
"passed","Sat Feb 14 13:14:48 CET 2026","Sat Feb 14 13:14:52 CET 2026","4498","chromium","","Form Validation - Empty Fields","","","3.3 Login fails when only password is empty",""
"passed","Sat Feb 14 13:14:41 CET 2026","Sat Feb 14 13:14:48 CET 2026","7155","chromium","","Authentication - Invalid Credentials","","","2.1 Login fails with invalid username",""
"passed","Sat Feb 14 13:14:41 CET 2026","Sat Feb 14 13:14:48 CET 2026","6975","chromium","","Form Validation - Empty Fields","","","3.2 Login fails when only username is empty",""
"passed","Sat Feb 14 13:14:48 CET 2026","Sat Feb 14 13:14:51 CET 2026","3171","chromium","","Case Sensitivity & Edge Cases","","","4.1 Username is case-sensitive",""
"passed","Sat Feb 14 13:14:49 CET 2026","Sat Feb 14 13:14:52 CET 2026","3207","chromium","","Case Sensitivity & Edge Cases","","","4.4 Login with extra whitespace in password",""
"passed","Sat Feb 14 13:14:51 CET 2026","Sat Feb 14 13:14:53 CET 2026","1980","chromium","","Test group","","","seed",""
"passed","Sat Feb 14 13:14:41 CET 2026","Sat Feb 14 13:14:48 CET 2026","7343","chromium","","Authentication - Invalid Credentials","","","2.3 Login fails with both credentials invalid",""
"failed","Sat Feb 14 13:14:41 CET 2026","Sat Feb 14 13:14:52 CET 2026","11750","chromium","","Authentication - Happy Path","","","1.2 Login form displays correct instructions",""
"passed","Sat Feb 14 13:14:41 CET 2026","Sat Feb 14 13:14:47 CET 2026","6404","chromium","","Form Validation - Empty Fields","","","3.1 Login fails when both fields are empty",""
